Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
48,4555785169,Regalboy1987 (13/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Brandon Boston Jr.,SF,0.98%,25.25
48,4555785170,Regalboy1987 (14/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Kevon Looney,C,0.82%,24.75
48,4555785171,Regalboy1987 (15/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Dillon Brooks,F,0.78%,42.75
48,4555785172,Regalboy1987 (16/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Keyonte George,G,0.71%,47.75
48,4555785173,Regalboy1987 (17/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Collin Sexton,SG,0.69%,17.5
48,4555785174,Regalboy1987 (18/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Donte DiVincenzo,G,0.66%,14.75
48,4555785175,Regalboy1987 (19/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Derrick Jones Jr.,PF,0.63%,4
48,4555785176,Regalboy1987 (20/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Ja Morant,PG,0.59%,0
70,4555169713,justinty53 (12/20),0,326.25,C Anthony Davis F Santi Aldama G Amen Thompson PF Rui Hachimura PG Scotty Pippen Jr. SF Justin Champagnie SG Carlton Carrington UTIL Victor Wembanyama,,Deandre Ayton,C,0.59%,43.75
70,4555760303,elindy4 (15/20),0,326.25,C Victor Wembanyama F Jonathan Kuminga G Jalen Green PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Buddy Hield,SG,0.54%,44
72,4554869451,mrtracy177 (2/20),0,326,C Jonas Valanciunas F Amen Thompson G Dejounte Murray PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Carlton Carrington UTIL Anthony Davis,,Marvin Bagley III,C,0.52%,37.25
72,4555622665,nickfromcwe (17/20),0,326,C Jonas Valanciunas F Amen Thompson G De'Aaron Fox PF Santi Aldama PG Jared Butler SF Jake LaRavia SG Trey Murphy III UTIL Anthony Davis,,Amir Coffey,SF,0.51%,0
74,4555094690,spundin (2/3),0,325.75,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Jaden McDaniels,SF,0.47%,23
74,4555507263,ShaKneeBoy (3/17),0,325.75,C Jonas Valanciunas F Amen Thompson G Jalen Green PF John Collins PG Scotty Pippen Jr. SF Justin Champagnie SG Norman Powell UTIL Anthony Davis,,Bones Hyland,G,0.46%,35.75
74,4555545385,TheKid2430 (18/20),0,325.75,C Jonas Valanciunas F Jaylen Wells G D'Angelo Russell PF John Collins PG Scotty Pippen Jr. SF Justin Champagnie SG Anthony Edwards UTIL Anthony Davis,,Johnny Juzang,SG,0.44%,9.25
74,4555594515,kcan8689 (5/8),0,325.75,C Jonas Valanciunas F Dillon Brooks G Kevin Porter Jr. PF Jaren Jackson Jr. PG Dejounte Murray SF Amen Thompson SG Marcus Smart UTIL Anthony Davis,,Brandin Podziemski,SG,0.40%,15.25
74,4555656591,michaels2014,0,325.75,C Anthony Davis F Justin Champagnie G Scotty Pippen Jr. PF Jaren Jackson Jr. PG Dejounte Murray SF Trey Murphy III SG Dalton Knecht UTIL Santi Aldama,,Desmond Bane,SF,0.35%,0
74,4555793235,gehrenberg (4/20),0,325.75,C Jonas Valanciunas F Julius Randle G Marcus Smart PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Trey Murphy III UTIL Anthony Davis,,Kevin Huerter,G,0.35%,45.25
80,4552649088,papagates (4/20),0,325.5,C Jonas Valanciunas F Norman Powell G Scotty Pippen Jr. PF Rui Hachimura PG Dejounte Murray SF Amen Thompson SG Marcus Smart UTIL Anthony Davis,,Svi Mykhailiuk,F,0.32%,1.25
80,4554687556,artillero1 (5/20),0,325.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF John Collins PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Harrison Barnes,F,0.31%,25.25
80,4555184186,beastofbruce (5/6),0,325.5,C Anthony Davis F John Collins G Devin Vassell PF Jonathan Kuminga PG D'Angelo Russell SF Justin Champagnie SG Norman Powell UTIL Jonas Valanciunas,,Jordan Miller,F,0.31%,23
80,4555760667,Bogey87,0,325.5,C Domantas Sabonis F Bilal Coulibaly G CJ McCollum PF Rui Hachimura PG Dejounte Murray SF Justin Champagnie SG Trey Murphy III UTIL Jonas Valanciunas,,Nickeil Alexander-Walker,SF,0.30%,25.25
84,4555278428,Kgabes11 (2/20),0,325.25,C Jonas Valanciunas F Julius Randle G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Anthony Edwards UTIL Yves Missi,,Jabari Walker,PF,0.30%,7.25
85,4553239277,az350z (13/20),0,325,C Yves Missi F Justin Champagnie G Scotty Pippen Jr. PF Rui Hachimura PG Dejounte Murray SF Bilal Coulibaly SG Malik Monk UTIL Anthony Davis,,Johnny Davis,F,0.27%,15.75
85,4554733028,SeanGeezy (12/20),0,325,C Jonas Valanciunas F Trey Murphy III G Scotty Pippen Jr. PF Rui Hachimura PG Dejounte Murray SF Justin Champagnie SG Jordan Poole UTIL Anthony Davis,,Micah Potter,PF,0.24%,2.5
85,4555515397,yoad1717 (3/6),0,325,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Rui Hachimura PG Scotty Pippen Jr. SF Justin Champagnie SG Jordan Poole UTIL Anthony Davis,,John Konchar,F,0.22%,26
88,4555430697,sheppdog1991 (10/20),0,324.5,C Yves Missi F Amen Thompson G Scotty Pippen Jr. PF Julius Randle PG Dejounte Murray SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Kris Dunn,UTIL,0.20%,23.25
89,4555121153,ChipotleShark (11/20),0,324.25,C Jonas Valanciunas F Amen Thompson G D'Angelo Russell PF Lauri Markkanen PG Scotty Pippen Jr. SF Justin Champagnie SG CJ McCollum UTIL Anthony Davis,,Brice Sensabaugh,F,0.19%,16.25
89,4555349184,richenol (1/2),0,324.25,C Jonas Valanciunas F Herbert Jones G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Amen Thompson UTIL Anthony Davis,,Zach Collins,C,0.16%,5.75
89,4555600354,crossfitsavage (19/20),0,324.25,C Anthony Davis F Max Christie G Kevin Porter Jr. PF Jonathan Kuminga PG Stephen Curry SF Keegan Murray SG Buddy Hield UTIL D'Angelo Russell,,Lindy Waters III,UTIL,0.16%,9.5
89,4555758465,rileydean (2/2),0,324.25,C Anthony Davis F Santi Aldama G Dejounte Murray PF John Collins PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Jonas Valanciunas,,James Harden,PG,0.15%,0
93,4553118425,akumakill (11/20),0,324,C Jonas Valanciunas F Julius Randle G Anthony Edwards PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Anthony Gill,F,0.15%,9.5
93,4553299499,ChocoBliss (9/20),0,324,C Jonas Valanciunas F Julius Randle G Scotty Pippen Jr. PF Santi Aldama PG Marcus Smart SF Justin Champagnie SG Anthony Edwards UTIL Anthony Davis,,Kyle Filipowski,PF,0.15%,3.75
93,4553306871,CJCashing (11/20),0,324,C Jonas Valanciunas F Julius Randle G Anthony Edwards PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Scoot Henderson,G,0.15%,16.5
93,4553497041,rtwcandy2021 (11/20),0,324,C Jonas Valanciunas F Julius Randle G Anthony Edwards PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Kyle Anderson,F,0.15%,6
93,4553547216,futurehendrix1 (16/20),0,324,C Jonas Valanciunas F Amen Thompson G Dejounte Murray PF Julius Randle PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Toumani Camara,G,0.11%,16.5
93,4553593341,FomoYet (10/20),0,324,C Jonas Valanciunas F Julius Randle G Anthony Edwards PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Isaiah Collier,G,0.09%,4.75
93,4554034208,GoldenMonkey2011 (12/20),0,324,C Jonas Valanciunas F Julius Randle G Anthony Edwards PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Gary Payton II,SF,0.09%,24.75
93,4554425955,invertedcheese (12/20),0,324,C Jonas Valanciunas F Amen Thompson G Dejounte Murray PF Julius Randle PG Scotty Pippen Jr. SF Justin Champagnie SG Marcus Smart UTIL Anthony Davis,,Steven Adams,UTIL,0.08%,8.5
