Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
86,4566675021,smithbrandon7 (9/20),34,308.5,C Andre Drummond F Aaron Gordon G Coby White PF Jonathan Mogbo PG Tyrese Maxey SF Jimmy Butler SG Malik Beasley UTIL Jakob Poeltl,,Jaden Ivey,SG,0.96%,0
86,4567115449,nickfromcwe (9/20),0,308.5,C Jakob Poeltl F Talen Horton-Tucker G Coby White PF Paul George PG Tyler Herro SF Jimmy Butler SG Malik Beasley UTIL Jonathan Mogbo,,Jalen Wilson,SF,0.95%,22.75
86,4567278227,Whistmaster,0,308.5,C Noah Clowney F Malik Beasley G Tyler Herro PF Haywood Highsmith PG Cade Cunningham SF Jimmy Butler SG Terry Rozier UTIL Bam Adebayo,,Cody Martin,F,0.65%,25.75
89,4567150624,wwilder73 (12/20),46.75,308.25,C Andre Drummond F Jonathan Mogbo G Kevin Porter Jr. PF Jimmy Butler PG Tyrese Maxey SF Malik Beasley SG Coby White UTIL Nikola Vucevic,,Georges Niang,SF,0.63%,30.75
90,4566654281,cb35 (8/20),68,307.75,C Andre Drummond F Jonathan Mogbo G Julian Strawther PF RJ Barrett PG Cade Cunningham SF Jimmy Butler SG Coby White UTIL Keon Ellis,,Nick Richards,C,0.61%,27.75
90,4566909056,rrod133 (14/20),0,307.75,C Jakob Poeltl F Patrick Williams G Cade Cunningham PF Jonathan Mogbo PG Dru Smith SF Jimmy Butler SG Malik Beasley UTIL Nikola Vucevic,,Isaiah Stewart,C,0.57%,7.25
90,4567278001,garyyoung (3/20),0,307.75,C Bam Adebayo F Jimmy Butler G Tyler Herro PF Isaac Okoro PG Cade Cunningham SF Haywood Highsmith SG Tim Hardaway Jr. UTIL Jalen Duren,,Vasilije Micic,UTIL,0.52%,7.25
93,4567098205,propainscottw (16/20),0,307.5,C Mark Williams F Jaime Jaquez Jr. G Gradey Dick PF RJ Barrett PG Tyrese Maxey SF Ausar Thompson SG Brandon Miller UTIL Malik Beasley,,Chris Boucher,PF,0.52%,27
94,4566829023,chapstk1974 (12/20),0,307.25,C Andre Drummond F RJ Barrett G Josh Giddey PF Jonathan Mogbo PG Dru Smith SF Jimmy Butler SG Gradey Dick UTIL Jakob Poeltl,,Keegan Murray,SF,0.50%,0
94,4567134929,papaaj1 (12/20),0,307.25,C Andre Drummond F RJ Barrett G Josh Giddey PF Jonathan Mogbo PG Dru Smith SF Jimmy Butler SG Gradey Dick UTIL Jakob Poeltl,,Jordan Clarkson,G,0.46%,0
94,4567603477,Bombropper (2/4),0,307.25,C Andre Drummond F Jonathan Mogbo G Josh Giddey PF RJ Barrett PG Dru Smith SF Jimmy Butler SG Gradey Dick UTIL Jakob Poeltl,,Sam Merrill,SG,0.46%,14
97,4566303703,walsean1 (6/20),79.83,307,C Andre Drummond F RJ Barrett G Malik Monk PF Jimmy Butler PG Coby White SF Malik Beasley SG Gradey Dick UTIL Kris Dunn,,Dean Wade,PF,0.41%,16.25
97,4566603366,kevkev420,46.75,307,C Jarrett Allen F Jimmy Butler G Tyler Herro PF Ausar Thompson PG Cade Cunningham SF Ricky Council IV SG Gradey Dick UTIL Kevin Porter Jr.,,Brice Sensabaugh,SF,0.41%,0
