Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Obi Toppin,C/PF/F/UTIL,IND,27.039375,4.020492120448941,10.01%,1.05%,1.61%,1.12%,$-2.05,12
Day'Ron Sharpe,C/UTIL,BKN,21.74,11.51,25.07%,0.77%,1.88%,4.55%,$-2.14,48
Svi Mykhailiuk,SF/SG/G/F/UTIL,UTA,20.78,9.76,25.35%,0.29%,18.76%,18.87%,$-2.18,48
Noah Clowney,C/PF/F/UTIL,BKN,25.46,8.43,23.58%,0.4%,8.56%,6.18%,$-2.25,48
Jalen Williams,PF/F/UTIL,OKC,38.14151041666666,7.297271804717777,17.8%,0.29%,15.05%,13.62%,$-2.30,14
Mason Plumlee,C/UTIL,PHX,19.06,9.25,27.54%,0.01%,0.25%,0.52%,$-2.34,48
Andrew Nembhard,PG/SG/G/UTIL,IND,22.229374999999997,3.5208222136497636,17.99%,0.18%,7.65%,17.45%,$-2.35,12
Miles Bridges,PF/F/UTIL,CHA,34.19,10.78,22.37%,0.34%,12.3%,4.0%,$-2.36,48
Mark Williams,C/UTIL,CHA,30.82,13.03,23.24%,0.3%,9.64%,14.21%,$-2.41,48
Andre Drummond,C/UTIL,PHI,0,0.0,0.0%,0.0%,0.08%,0.04%,$-2.52,15
Tidjane Salaun,PF/F/UTIL,CHA,15.32,6.58,18.97%,0.0%,0.35%,0.1%,$-2.54,48
Collin Gillespie,PG/G/UTIL,PHX,0,0.0,31.78%,0.0%,0.05%,0.03%,$-2.54,48
Bilal Coulibaly,SF/F/UTIL,WAS,32.23880208333333,3.751449697545634,4.19%,0.0%,0.91%,2.11%,$-2.55,14
Keon Johnson,PG/SG/G/UTIL,BKN,29.04,9.02,21.57%,0.07%,9.34%,7.47%,$-2.57,48
Ziaire Williams,SF/SG/G/F/UTIL,BKN,23.32,9.32,20.39%,0.11%,5.47%,3.36%,$-2.58,48
Nic Claxton,C/UTIL,BKN,28.68,11.43,22.47%,0.0%,2.44%,2.77%,$-2.58,48
Tyrese Martin,SF/SG/G/F/UTIL,BKN,26.07,8.71,19.75%,0.24%,9.52%,5.74%,$-2.59,48
Myles Turner,C/UTIL,IND,32.051249999999996,4.779250127069916,18.89%,0.28%,4.74%,6.06%,$-2.62,12
Reece Beekman,PG/G/UTIL,BKN,6.92,4.02,22.87%,0.0%,0.17%,0.1%,$-2.64,48
Isaiah Joe,SF/SG/G/F/UTIL,OKC,16.361944444444447,4.3934090040775065,12.15%,0.1%,18.12%,16.17%,$-2.71,14
Bradley Beal,SF/SG/G/F/UTIL,PHX,31.22,10.11,19.55%,0.15%,8.68%,3.25%,$-2.72,48
LaMelo Ball,PG/G/UTIL,CHA,42.49,13.16,18.43%,0.01%,17.24%,7.6%,$-2.74,48
Trey Murphy III,PF/SF/F/UTIL,NOP,47.118125,4.173169036415357,8.45%,1.53%,2.12%,0.92%,$-2.77,12
Darius Garland,PG/G/UTIL,CLE,31.178125,5.306679473135715,13.93%,0.02%,19.53%,6.94%,$-2.79,12
Grayson Allen,SG/G/UTIL,PHX,22.47,8.18,19.34%,0.02%,2.3%,2.85%,$-2.79,48
Caleb Martin,PF/SF/F/UTIL,PHI,0,0.0,0.0%,0.0%,0.12%,0.04%,$-2.80,15
Seth Curry,SG/G/UTIL,CHA,0,0.0,34.34%,0.0%,0.02%,0.03%,$-2.82,48
Royce O'Neale,PF/SF/F/UTIL,PHX,20.91,8.43,20.29%,0.0%,1.56%,0.87%,$-2.84,48
Jarrett Allen,C/UTIL,CLE,30.9575,5.8156025263571,12.28%,0.1%,26.31%,10.81%,$-2.90,12
Ryan Dunn,PF/SF/F/UTIL,PHX,17.73,7.36,16.26%,0.0%,0.45%,0.33%,$-2.91,48
Jonathan Isaac,C/PF/F/UTIL,ORL,16.4814453125,4.774349741719378,15.48%,0.56%,2.71%,3.8%,$-2.95,15
Ricky Council IV,PF/SF/F/UTIL,PHI,3.7373046874999996,4.347882771326143,1.41%,0.0%,5.89%,25.54%,$-3.00,15
Max Strus,SF/SG/G/F/UTIL,CLE,12.506875,3.025778880061689,14.3%,0.03%,25.95%,9.57%,$-3.02,12
Tyus Jones,PG/G/UTIL,PHX,23.23,8.98,15.82%,0.0%,1.06%,1.16%,$-3.04,48
Al Horford,C/PF/F/UTIL,BOS,24.353125,3.5023159208053496,6.13%,1.24%,1.19%,0.2%,$-3.07,12
Ben Simmons,PG/G/UTIL,BKN,25.78,10.09,15.49%,0.0%,1.43%,1.24%,$-3.07,48
Kelly Oubre Jr.,SG/G/UTIL,PHI,23.8173828125,3.531354547524464,13.32%,0.02%,15.41%,12.37%,$-3.11,15
Tyrese Maxey,PG/G/UTIL,PHI,47.8681640625,5.845717984414576,13.92%,0.06%,4.89%,6.56%,$-3.12,15
Bojan Bogdanovic,SF/F/UTIL,BKN,0,0.0,16.53%,0.0%,0.1%,0.03%,$-3.16,48
Cody Martin,SF/SG/G/F/UTIL,CHA,18.52,6.95,14.24%,0.0%,1.72%,1.15%,$-3.22,48
Eric Gordon,SG/G/UTIL,PHI,19.64453125,2.626412439616869,12.4%,0.06%,1.24%,2.76%,$-3.23,15
Caris LeVert,PG/SG/G/UTIL,CLE,15.631875,3.812296325949284,4.05%,0.0%,1.95%,1.64%,$-3.26,12
Oso Ighodaro,C/PF/F/UTIL,PHX,17.48,7.34,12.49%,0.0%,1.26%,0.94%,$-3.29,48
Brandon Miller,SF/SG/G/F/UTIL,CHA,31.03,9.14,11.89%,0.03%,9.84%,0.94%,$-3.29,48
Jaylin Williams,C/UTIL,OKC,25.614739583333332,4.388393696995227,17.11%,0.0%,0.39%,3.65%,$-3.31,14
