PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Cole Anthony (37303107),Andrew Nembhard (37303179),Aaron Wiggins (37303377),Jalen Williams (37302986),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Myles Turner (37303072),280.61,275.7,378.20000000000005,50000,0.09%,3.44%,1.41%,46.62%,249.02999999999997,$5.63,OKC 3,IND 2,generated,1
Keon Johnson (37303113),Isaiah Joe (37303303),Svi Mykhailiuk (37303337),Jalen Williams (37302986),Jarrett Allen (37303060),Devin Booker (37302957),Kyle Filipowski (37303285),Kevin Durant (37302953),273.13,263.69,364.88,50000,0.11%,3.34%,1.4%,38.18%,141.84,$5.59,OKC 2,UTA 2,generated,1
Cason Wallace (37303281),Cole Anthony (37303107),Isaiah Joe (37303303),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Kyle Filipowski (37303285),Shai Gilgeous-Alexander (37302935),282.08,273.46999999999997,381.80000000000007,50000,0.09%,3.46%,1.4%,49.11%,270.86,$5.62,OKC 4,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Aaron Wiggins (37303377),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Donovan Mitchell (37302974),Luguentz Dort (37303218),Jarrett Allen (37303060),282.20000000000005,276.29,381.90999999999997,50000,0.09%,3.46%,1.37%,49.12%,274.93,$5.49,OKC 4,CLE 2,generated,1
Darius Garland (37303029),Cole Anthony (37303107),Ricky Council IV (37303632),Noah Clowney (37303133),Jonas Valanciunas (37303111),Kelly Oubre Jr. (37303089),Kevin Durant (37302953),Lauri Markkanen (37303014),269.97,259.04,362.93,50000,0.12%,3.16%,1.37%,34.89%,135.91000000000003,$5.49,PHI 2,CLE 1,generated,1
Donovan Mitchell (37302974),Cason Wallace (37303281),Ricky Council IV (37303632),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Paul George (37303009),Kyle Filipowski (37303285),Pascal Siakam (37303036),276.43000000000006,265.03999999999996,365.78000000000003,49800,0.1%,3.49%,1.37%,41.78%,214.14,$5.5,OKC 3,PHI 2,generated,1
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Paul George (37303009),Brice Sensabaugh (37303235),Isaiah Hartenstein (37303039),T.J. McConnell (37303334),Kyle Filipowski (37303285),Jarrett Allen (37303060),278.75000000000006,273.94,380.89000000000004,49400,0.1%,3.26%,1.36%,44.57%,254.09999999999997,$5.44,OKC 2,UTA 2,generated,1
Darius Garland (37303029),Jaylen Brown (37302978),Aaron Wiggins (37303377),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Isaiah Joe (37303303),Kyle Filipowski (37303285),Lauri Markkanen (37303014),275.31,267.90000000000003,367.99,50000,0.09%,3.44%,1.34%,40.75%,186.33,$5.37,OKC 4,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Derrick White (37303047),Luguentz Dort (37303218),Ricky Council IV (37303632),Jarrett Allen (37303060),Collin Sexton (37303043),Kyle Filipowski (37303285),Darius Garland (37303029),279.33,266.46999999999997,373.46000000000004,49700,0.08%,3.57%,1.33%,45.27%,212.06,$5.33,OKC 2,CLE 2,generated,1
Devin Booker (37302957),Jaylen Brown (37302978),Ricky Council IV (37303632),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Kyle Filipowski (37303285),Day'Ron Sharpe (37303214),273.8,262.3299999999999,362.72,49500,0.1%,3.21%,1.3%,38.62%,163.78,$5.2,PHI 2,PHX 1,generated,1
Darius Garland (37303029),Cole Anthony (37303107),Aaron Wiggins (37303377),Ricky Council IV (37303632),Evan Mobley (37302989),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),283.21000000000004,275.94,385.38000000000005,49400,0.05%,3.58%,1.29%,50.76%,290.98,$5.17,OKC 3,CLE 2,generated,1
