Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Bogdan Bogdanovic,SG/SF,ATL,dk,0.00,4700,0,0,-23,DET,116.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830648,37514698
Paul Reed,C,DET,dk,0.00,3600,0,0,-18,ATL,121,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076238,37514877
Daniss Jenkins,PG,DET,dk,0.00,3000,0,0,-15,ATL,121,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182387,37515169
Grant Williams,C,CHA,dk,0.00,3000,0,0,-15,WAS,110.25,216,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949273,37515192
Oscar Tshiebwe,C,UTA,dk,0.00,3000,0,0,-15,IND,117.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175089,37515086
Johnny Furphy,SG/SF,IND,dk,0.00,3000,0,0,-15,UTA,124.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475759,37515238
Isaiah Jackson,C,IND,dk,0.00,3000,0,0,-15,UTA,124.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245934,37515243
James Johnson,PF/C,IND,dk,0.00,3000,0,0,-15,UTA,124.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398037,37515230
Enrique Freeman,PF/C,IND,dk,0.00,3000,0,0,-15,UTA,124.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197096,37515043
Rayj Dennis,PG,IND,dk,0.00,3000,0,0,-15,UTA,124.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194704,37515227
Jalen Williams,PF,OKC,dk,0.00,8100,0,0,-40,MIL,121,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182404,37514455
Branden Carlson,C,OKC,dk,0.00,3000,0,0,-15,MIL,121,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177008,37515113
Matt Ryan,SG/SF,NYK,dk,0.00,3000,0,0,-15,HOU,115.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880463,37515047
Fred Vanvleet,PG,HOU,dk,0.00,6800,0,0,-34,NYK,108.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707832,37514518
Desmond Bane,SG,MEM,dk,0.00,7900,0,0,-39,SAS,122.25,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944263,37514467
Bobi Klintman,PF,DET,dk,0.00,3000,0,0,-15,ATL,121,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406013,37515024
Julius Randle,PF/C,MIN,dk,0.00,6900,0,0,-34,SAC,113.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786412,37514507
Lamelo Ball,PG,CHA,dk,0.00,10000,0,0,-50,WAS,110.25,216,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257420,37514410
Marvin Bagley III,C,WAS,dk,0.00,3000,0,0,-15,CHA,105.75,216,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076209,37515341
Johnny Davis,PG/SF,WAS,dk,0.00,3000,0,0,-15,CHA,105.75,216,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231530,37515334
Nate Williams,PG/SF,HOU,dk,0.00,3000,0,0,-15,NYK,108.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138994,37515247
Riley Minix,PF,SAS,dk,0.00,3000,0,0,-15,MEM,118.75,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482016,37515292
Russell Westbrook,PG,DEN,dk,0.00,6400,0,0,-32,NOP,126,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329830,37514539
Khris Middleton,SG/SF,MIL,dk,0.00,5300,0,0,-26,OKC,103.5,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512053,37514616
Vlatko Cancar,C,DEN,dk,0.00,3000,0,0,-15,NOP,126,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057007,37515165
David Duke Jr,SG,SAS,dk,0.00,3000,0,0,-15,MEM,118.75,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134645,37515284
Sidy Cissoko,SG/SF,SAC,dk,0.00,3000,0,0,-15,MIN,108.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1432656,37515287
Jamal Cain,SF,NOP,dk,0.00,3000,0,0,-15,DEN,116,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060409,37515299
Harrison Ingram,PF,SAS,dk,0.00,3000,0,0,-15,MEM,118.75,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326454,37515277
Terrence Shannon Jr,SG,MIN,dk,0.00,3000,0,0,-15,SAC,113.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182148,37515081
Tristen Newton,PG,MIN,dk,0.00,3000,0,0,-15,SAC,113.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174846,37515071
Donte Divincenzo,PG,MIN,dk,0.00,5400,0,0,-27,SAC,113.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887915,37514601
Jalen Johnson,C,ATL,dk,0.00,3000,0,0,-15,DET,116.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230356,37515313
Isaiah Crawford,PF,SAC,dk,0.00,3000,0,0,-15,MIN,108.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176631,37515201
De'Aaron Fox,PG,SAS,dk,0.00,7500,0,0,-37,MEM,118.75,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957489,37514483
Jacob Toppin,PF,NYK,dk,0.00,3000,0,0,-15,HOU,115.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176741,37515094
Pacome Dadiet,SG/SF,NYK,dk,0.00,3000,0,0,-15,HOU,115.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500956,37515105
Isaac Jones,PF/C,SAC,dk,0.00,3100,0,0,-15,MIN,108.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403624,37515013
Zach Collins,C,SAS,dk,0.00,3400,0,0,-17,MEM,118.75,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955887,37514900
