Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Feasibility,Weighted Feasibility,Tournament Feasibility,Team_Contest_Rank,Player_Pool_Size,Proj_Salary_Ratio,Normalized_Value,Log_Proj,Prev_Salary_Mean,Salary_Proj_Interaction,Value_Feasibility_Interaction,Proj_Feasibility_Interaction,Low_Minutes_Flag,Low_Minutes_Penalty,Team_Total_Points_Proj,Player_Points_Percentage,Value_Plus,Ceiling_Plus,Custom_Target,Rank,Preliminary_Predictions,Scaled_Predictions,Group_Rank,Dynamic_Shift,Predicted Ownership
13,Isaiah Wong,3400,12.36,3.64,7.4,14863,3,-4.64,PG,CHA,1.46,14.0,1.09207,798.0,6.309026855943133e-05,9.0,104,0.0036352941176470586,0.5144514415133016,2.5922651681085,4966.666666666667,42024.0,3.9751348000000006,13.4979852,0,0.0,1615.24,0.007652113617790545,-1.2400000000000002,-3.1799999999999997,0.0740624593658739,32.0,0.02663220354307061,3.6155672711778597,42.0,0.4594747374013099,3.9514336802978014
13,Brook Lopez,5600,25.26,4.51,7.2,14863,3,-2.74,C,MIL,1.83,32.0,2.45856,858.0,5.2919356899172745e-05,4.0,104,0.004510714285714286,0.8983488965906085,3.26804686887465,4333.333333333333,141456.0,11.088105599999999,62.1032256,0,0.0,1607.59,0.015712961638228655,2.860000000000003,-0.9099999999999966,0.07205239016333025,33.0,0.06982489122477697,9.479373008604991,29.0,0.45574669221016745,8.343293985030245
13,Dean Wade,3700,12.57,3.4,5.95,14863,3,-5.93,SF/PF,CLE,0.78,18.0,1.38195,1342.0,7.162177554834673e-05,9.0,104,0.0033972972972972975,0.4085486952850788,2.6078614738467776,4100.0,46509.0,4.69863,17.3711115,0,0.0,1920.61,0.006544795663877623,-2.2300000000000004,-5.15,0.059570905557792916,34.0,0.02091482477402473,2.8393803694497097,48.0,0.4613463535108075,3.382474241625017
13,Alex Caruso,4000,15.86,3.97,5.89,14863,3,-4.14,SG/SF,OKC,1.5,19.0,1.438965,1390.0,0.0002366620524802,7.0,104,0.003965,0.6600677175771077,2.8249439525737094,4300.0,63440.0,5.71269105,22.8219849,0,0.0,1935.54,0.008194095704557902,-0.14000000000000057,-2.6400000000000006,0.05913429543195545,35.0,0.05483717914436825,7.444652855609534,31.0,0.4562880925721684,6.746639896103428
13,Josh Green,4800,19.78,4.12,5.56,14863,3,-4.22,SF/PF,CHA,0.97,29.0,2.26722,1735.0,0.0002563166388467,5.0,104,0.004120833333333334,0.7262569339697469,3.0339909856710814,4266.666666666667,94944.0,9.3409464,44.845611600000005,0,0.0,1615.24,0.012245858200638915,0.5800000000000018,-3.25,0.05585375347245828,36.0,0.09123021961142896,12.385343767593499,23.0,0.454202553188035,12.860463608608246
13,Georges Niang,4200,14.22,3.39,5.39,14863,3,-6.78,SF/PF,CLE,1.07,19.0,1.46547,1427.0,7.884802780415366e-05,7.0,104,0.0033857142857142857,0.40413608085890296,2.7226103524335397,4433.333333333333,59724.0,4.9679433,20.8389834,0,0.0,1920.61,0.007403897719995211,-2.58,-5.709999999999999,0.05397805954752616,37.0,0.029414808043176865,3.9933314972189335,41.0,0.45917146781982265,4.782483277597793
13,Duncan Robinson,4200,17.0,4.05,4.63,14863,3,-4.0,SG,MIA,1.64,21.0,1.6233,1467.0,7.794716721586334e-05,5.0,104,0.004047619047619047,0.6953686329865151,2.8903717578961645,4466.666666666667,71400.0,6.574364999999999,27.5961,0,0.0,1603.08,0.010604586171619633,0.1999999999999993,-2.3599999999999994,0.046377167695543745,38.0,0.04609572079430713,6.257919258378945,34.0,0.45712323345470973,6.761158967621816
13,Taurean Prince,3500,13.6,3.89,4.18,14863,3,-3.9,SF/PF,MIL,0.64,22.0,1.72909,1279.0,7.38794514579401e-05,7.0,104,0.0038857142857142857,0.6247668021677001,2.681021528714291,3900.0,47600.0,6.7261601,23.515624,0,0.0,1607.59,0.008459868498808776,-0.40000000000000036,-3.26,0.04187314065694339,39.0,0.033067015713511116,4.489152374340496,40.0,0.4588707763162608,4.7142475297361655
13,Isaiah Joe,3400,14.6,4.29,3.77,14863,3,-2.4,SG/SF,OKC,1.16,19.0,1.460625,1272.0,0.0001389737266083,8.0,104,0.004294117647058823,0.8012713792147379,2.747270914255491,3600.0,49640.0,6.26608125,21.325125,0,0.0,1935.54,0.007543114583010426,1.0,-1.2400000000000002,0.03783758398934225,40.0,0.05240778872863472,7.114840699366656,32.0,0.45656346404865095,7.862508600115039
13,Cason Wallace,4400,17.86,4.06,3.73,14863,3,-4.14,PG/SG,OKC,1.1,25.0,1.935875,2012.0,0.0001505087105684,5.0,104,0.004059090909090909,0.699781247412691,2.937043277205311,3700.0,78584.0,7.859652499999999,34.5747275,0,0.0,1935.54,0.009227399072093577,0.259999999999998,-3.039999999999999,0.03744900362346275,41.0,0.07077531651783309,9.60840200831641,28.0,0.45548080035093846,10.053108204047875
