Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
79,4640206697,mrfb (16/20),260.7,87.5,C Jusuf Nurkic F Pascal Siakam G Elfrid Payton PF Jayson Tatum PG Jared Butler SF Franz Wagner SG De'Aaron Fox UTIL Thomas Bryant,,Jonathan Mogbo,C,0.34%,2.75
82,4639622049,maddawg65 (3/6),289.75,87.25,C Thomas Bryant F Sam Hauser G LOCKED PF Al Horford PG Derrick White SF Jayson Tatum SG Payton Pritchard UTIL LOCKED,,Tristan Vukcevic,C,0.32%,3.25
83,4639972009,svnetzel (3/20),298.47,87,C Victor Wembanyama F LOCKED G Jared Butler PF LOCKED PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL Thomas Bryant,,Justin Champagnie,F,0.30%,0
83,4640019929,aquafinatim (1/20),298.47,87,C Thomas Bryant F LOCKED G Jared Butler PF LOCKED PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL Victor Wembanyama,,Wendell Carter Jr.,C,0.27%,10.25
83,4640035988,cherepski (5/20),298.47,87,C Victor Wembanyama F LOCKED G Jared Butler PF Jayson Tatum PG Elfrid Payton SF LOCKED SG Derrick White UTIL Thomas Bryant,,Justin Edwards,PF,0.26%,0
83,4640164455,Xsmkxjoker (11/20),298.47,87,C Thomas Bryant F LOCKED G Jared Butler PF LOCKED PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL Victor Wembanyama,,Miles McBride,SG,0.22%,0
83,4640213356,JohnFR (4/5),298.47,87,C Thomas Bryant F LOCKED G Jared Butler PF LOCKED PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL Victor Wembanyama,,Georges Niang,F,0.21%,0
83,4640113032,jbeesee (9/20),291.19,87,C Thomas Bryant F LOCKED G Jared Butler PF Paolo Banchero PG Elfrid Payton SF Jayson Tatum SG Donovan Mitchell UTIL Kristaps Porzingis,,Chris Boucher,F,0.21%,0
89,4640058223,garyyoung (18/20),321.72,86.75,C Al Horford F LOCKED G LOCKED PF LOCKED PG Derrick White SF Jayson Tatum SG LOCKED UTIL Kristaps Porzingis,,Seth Curry,SG,0.21%,0
89,4640287286,BarnettBaller04,303.63998,86.75,C Victor Wembanyama F LOCKED G Quentin Grimes PF Jayson Tatum PG Jared Butler SF Nick Smith Jr. SG RJ Barrett UTIL Jusuf Nurkic,,Keldon Johnson,PF,0.19%,2.75
89,4640151813,Trudi0247 (1/20),297.64,86.75,C Victor Wembanyama F LOCKED G LOCKED PF Pascal Siakam PG Tyrese Haliburton SF Quentin Grimes SG Derrick White UTIL Jusuf Nurkic,,Andre Drummond,UTIL,0.18%,0
89,4640162488,j1samps (2/2),294.63998,86.75,C Thomas Bryant F Jayson Tatum G Jared Butler PF Al Horford PG Jalen Brunson SF Nick Smith Jr. SG LOCKED UTIL Victor Wembanyama,,Julian Champagnie,SF,0.18%,6.75
89,4640018951,teambam1,269.21,86.75,C Victor Wembanyama F LOCKED G Elfrid Payton PF Al Horford PG De'Aaron Fox SF Sam Hauser SG Derrick White UTIL Franz Wagner,,Luke Kornet,C,0.17%,4
94,4640245505,lilscrapnike (16/20),299.71,86.5,C LOCKED F Pascal Siakam G Jared Butler PF Kyshawn George PG Jordan Poole SF Jayson Tatum SG Derrick White UTIL LOCKED,,Ben Sheppard,UTIL,0.15%,1.25
94,4640116549,lucianoverylucky (1/6),299.52,86.5,C Thomas Bryant F LOCKED G LOCKED PF LOCKED PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL Jusuf Nurkic,,Dominick Barlow,PF,0.14%,0
94,4640175566,lucianoverylucky (2/6),299.52,86.5,C Thomas Bryant F LOCKED G LOCKED PF LOCKED PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL Jusuf Nurkic,,Nic Claxton,UTIL,0.13%,5.25
94,4640175567,lucianoverylucky (3/6),299.52,86.5,C Thomas Bryant F LOCKED G LOCKED PF LOCKED PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL Jusuf Nurkic,,Terance Mann,PG,0.13%,0
94,4640213104,vonsleet78 (1/20),299.52,86.5,C Thomas Bryant F LOCKED G LOCKED PF Jayson Tatum PG Elfrid Payton SF LOCKED SG Derrick White UTIL Jusuf Nurkic,,Jonathan Isaac,F,0.12%,0
94,4640120437,salatso22 (14/20),283.73,86.5,C Kristaps Porzingis F Ricky Council IV G LOCKED PF Al Horford PG Elfrid Payton SF Jayson Tatum SG Payton Pritchard UTIL Victor Wembanyama,,Clint Capela,C,0.11%,0
94,4640016343,edmoss50 (2/2),277.68,86.5,C LOCKED F Franz Wagner G T.J. McConnell PF Paolo Banchero PG Derrick White SF Nick Smith Jr. SG Cameron Payne UTIL Victor Wembanyama,,Jaylon Tyson,F,0.10%,0
94,4640274591,thecrater (4/5),275.03,86.5,C Al Horford F Miles Bridges G De'Aaron Fox PF Paolo Banchero PG Jared Butler SF Franz Wagner SG Cole Anthony UTIL LOCKED,,Landry Shamet,G,0.08%,0
94,4640166953,tonyocean,270.03003,86.5,C Thomas Bryant F Kyshawn George G Carlton Carrington PF Pascal Siakam PG Tyrese Haliburton SF Bilal Coulibaly SG Derrick White UTIL LOCKED,,Josh Green,F,0.08%,11
94,4640305713,Rwade23,262.58002,86.5,C Jusuf Nurkic F Bilal Coulibaly G Derrick White PF Paolo Banchero PG Elfrid Payton SF Franz Wagner SG LOCKED UTIL De'Aaron Fox,,Jalen Wilson,G,0.08%,0
104,4639889077,funwa001 (10/20),312.13,86,C Thomas Bryant F LOCKED G Donovan Mitchell PF Al Horford PG Derrick White SF Jayson Tatum SG Gradey Dick UTIL LOCKED,,Joel Embiid,C,0.08%,0
104,4639801967,Boondada (11/20),294.63998,86,C Kristaps Porzingis F Pascal Siakam G Jared Butler PF Al Horford PG Elfrid Payton SF Jayson Tatum SG LOCKED UTIL Jalen Brunson,,Craig Porter Jr.,G,0.07%,0
104,4639775589,C3zarsPalaC3 (4/20),293.81,86,C Thomas Bryant F LOCKED G Jared Butler PF Pascal Siakam PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL Jalen Brunson,,Moussa Diabate,C,0.05%,0
107,4640242985,journey56 (2/2),320.89,85.75,C Kristaps Porzingis F LOCKED G Carlton Carrington PF LOCKED PG LOCKED SF LOCKED SG Derrick White UTIL Jayson Tatum,,Jeff Dowtin,G,0.05%,0
107,4640118980,monkey_monkey,285.37,85.75,C Kristaps Porzingis F Sam Hauser G Devin Vassell PF LOCKED PG Derrick White SF Bennedict Mathurin SG Gradey Dick UTIL Jayson Tatum,,Jaylen Brown,SG,0.05%,0
107,4640270076,Cjsweet1972 (3/7),282.07004,85.75,C Victor Wembanyama F Corey Kispert G Nick Smith Jr. PF Kyshawn George PG Keon Johnson SF LOCKED SG Stephon Castle UTIL Jayson Tatum,,Tyrese Martin,G,0.05%,0
110,4639853418,DTwIz85 (18/20),296.4,85.5,C Victor Wembanyama F Nick Smith Jr. G Elfrid Payton PF LOCKED PG Derrick White SF Jayson Tatum SG LOCKED UTIL Jared Butler,,Isaiah Wong,SG,0.05%,-0.5
110,4640136114,lasher74 (7/9),288.84,85.5,C Jusuf Nurkic F Precious Achiuwa G Tyrese Haliburton PF Jayson Tatum PG LOCKED SF Franz Wagner SG Nick Smith Jr. UTIL Quentin Grimes,,Jamal Shead,UTIL,0.04%,0
110,4640120428,salatso22 (5/20),287.68,85.5,C Kristaps Porzingis F LOCKED G De'Aaron Fox PF Jayson Tatum PG Payton Pritchard SF Tidjane Salaun SG Derrick White UTIL LOCKED,,Ja'Kobe Walter,F,0.03%,0
113,4639819000,bgwig500 (17/20),323.87,85.25,C Thomas Bryant F LOCKED G Max Strus PF Precious Achiuwa PG Derrick White SF Jayson Tatum SG Donovan Mitchell UTIL LOCKED,,DaQuan Jeffries,UTIL,0.03%,1.25
113,4640033448,garyyoung (6/20),307.79,85.25,C Al Horford F Josh Hart G Nick Smith Jr. PF OG Anunoby PG Derrick White SF Jayson Tatum SG Mikal Bridges UTIL LOCKED,,Jaylen Nowell,UTIL,0.03%,0
