id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6339,Wiggins,Aaron,28.56,OKC,G,MIA,31.00,14.78,2.35,5.23,2.34,1.13,0.39,1.14,3.43,0.87,0.17,5.78,5.78,0.06,0.001,Starting,
5105,O'Neale,Royce,28.45,PHO,F,@ HOU,32.00,11.84,2.95,6.28,2.81,1.05,0.74,1.24,1.25,0.49,0.17,4.20,6.44,0.07,0.001,,
6775,Camara,Toumani,28.45,POR,F,@ DEN,35.00,12.51,1.73,6.15,2.40,1.49,0.72,1.53,2.85,1.62,0.53,4.58,5.84,0.08,0.001,,
6742,Podziemski,Brandin,28.12,GSW,G,@ DAL,30.00,12.30,2.04,5.21,4.21,1.06,0.17,1.14,2.48,1.22,0.30,4.52,6.33,0.05,0.002,,
6301,Kispert,Corey,27.89,WAS,F,IND,33.00,16.22,2.83,4.07,2.66,0.60,0.33,1.45,2.95,1.83,0.31,5.78,7.11,0.03,0.000,,
6322,Grimes,Quentin,27.79,PHI,G,@ BKN,35.00,13.81,2.31,4.73,3.34,1.06,0.37,1.99,2.53,1.82,0.54,4.84,6.11,0.02,0.000,Starting,
6532,Nembhard,Andrew,27.54,IND,G,@ WAS,29.00,12.04,0.88,3.69,5.61,1.29,0.13,1.79,3.47,2.46,0.71,4.35,4.39,0.05,0.001,,
6370,Goodwin,Jordan,27.53,LAL,G,@ UTA,26.00,10.72,1.05,5.66,3.92,1.38,0.58,1.31,3.19,1.19,0.38,4.24,6.04,0.04,0.001,,
6753,Smith Jr.,Nick,27.23,CHA,G,@ ORL,34.00,15.42,2.77,3.39,3.80,0.57,0.24,2.32,3.09,0.93,0.14,5.86,8.23,0.02,0.000,,
6502,Murray,Keegan,27.03,SAC,F,@ NOR,33.00,12.62,2.01,6.19,1.40,1.00,0.97,0.99,2.93,0.73,0.17,4.94,6.06,0.08,0.000,,
6321,Dosunmu,Ayo,26.91,CHI,G,DET,31.00,13.10,1.64,3.24,4.42,1.07,0.49,1.70,3.40,1.38,0.37,5.04,5.43,0.02,0.000,,
6363,Alvarado,Jose,26.76,NOR,G,SAC,29.00,11.10,2.18,2.69,5.66,1.47,0.27,1.67,1.70,1.16,0.37,3.88,5.51,0.05,0.000,,
6733,Thompson,Ausar,26.72,DET,F,@ CHI,26.00,11.22,0.36,6.32,2.22,1.52,0.79,1.28,4.37,1.40,1.01,4.73,4.05,0.07,0.001,,
6115,Bitadze,Goga,26.42,ORL,C,CHA,22.00,8.54,0.08,8.08,2.24,0.78,1.58,1.12,3.54,1.22,0.71,3.62,2.01,0.14,0.001,,
6947,Carrington,Bub,26.34,WAS,G,IND,33.00,11.02,2.00,4.40,5.14,0.75,0.23,1.85,1.91,1.20,0.32,3.91,5.78,0.05,0.001,,
6292,Butler,Jared,26.13,PHI,G,@ BKN,27.00,12.84,0.95,2.61,5.15,1.11,0.34,2.30,4.04,1.91,0.47,4.99,4.87,0.05,0.001,Starting,
2730,Horford,Al,26.12,BOS,C,SAS,32.00,9.87,2.07,6.57,2.57,0.69,1.04,0.78,1.63,0.40,0.06,3.70,5.34,0.05,0.001,,
5025,Jones,Tyus,26.03,PHO,G,@ HOU,32.00,12.17,2.37,2.47,5.50,0.91,0.15,1.73,2.16,0.74,0.12,4.53,5.59,0.05,0.001,,
5364,Hield,Buddy,25.96,GSW,G,@ DAL,30.00,14.20,3.14,3.82,2.11,1.04,0.42,1.40,1.99,0.80,0.16,5.13,7.43,0.02,0.000,,
5973,Claxton,Nicolas,25.94,BKN,C,PHI,27.00,9.10,0.05,7.79,2.20,0.74,1.40,1.47,3.91,1.13,0.99,3.96,3.16,0.15,0.002,Playing,
6504,Sharpe,Shaedon,25.84,POR,G,@ DEN,27.00,16.14,1.93,3.26,2.35,0.71,0.24,1.59,4.07,2.21,0.55,6.00,7.74,0.02,0.000,,
6790,Gueye,Mouhamed,25.81,ATL,F,@ NYK,25.00,11.51,1.25,6.63,1.09,0.94,1.12,0.95,3.01,1.74,0.70,4.26,4.98,0.07,0.000,Starting,
6542,Christie,Max,25.80,DAL,G,GSW,33.00,13.47,2.21,4.21,2.31,0.85,0.66,1.11,1.96,2.92,0.58,4.17,5.34,0.02,0.000,,
2464,Paul,Chris,25.77,SAS,G,@ BOS,28.00,7.08,1.23,4.28,7.08,1.15,0.18,1.41,1.22,0.95,0.08,2.45,3.55,0.10,0.003,,
6195,Marshall,Naji,25.61,DAL,F,GSW,28.00,13.08,1.24,4.32,3.16,1.03,0.19,1.42,3.86,1.64,0.37,5.10,5.35,0.02,0.000,,
6521,Jovic,Nikola,25.59,MIA,F,@ OKC,29.00,12.16,1.95,4.42,3.52,0.88,0.32,1.57,2.20,1.91,0.40,4.15,5.34,0.02,0.000,Playing,
6291,Johnson,Keon,25.47,BKN,G,PHI,27.00,13.50,1.81,3.74,3.01,0.98,0.39,1.78,2.97,2.13,0.60,4.78,6.82,0.02,0.000,,
6967,Mogbo,Jonathan,25.44,TOR,F,CLE,27.00,8.29,0.38,6.97,3.16,1.26,0.78,1.27,2.74,1.67,0.54,3.12,4.00,0.04,0.001,,
6125,Johnson,Cam,25.44,BKN,F,PHI,26.00,14.78,2.37,3.66,2.42,0.61,0.41,1.60,2.45,2.77,0.40,4.82,5.14,0.02,0.000,,
6337,Banton,Dalano,25.25,POR,F,@ DEN,22.00,12.87,1.56,3.07,4.00,0.79,0.57,1.99,3.19,1.81,0.62,4.75,7.01,0.02,0.000,,
6162,Anthony,Cole,25.18,ORL,G,CHA,23.00,11.94,1.25,3.92,4.09,0.81,0.47,2.02,3.16,1.87,0.44,4.41,5.58,0.02,0.000,,
6747,Dick,Gradey,25.13,TOR,G,CLE,31.00,15.22,2.29,3.77,1.92,0.84,0.14,1.62,2.94,2.47,0.35,5.23,7.32,0.02,0.000,,
6954,Missi,Yves,25.13,NOR,C,SAC,30.00,8.28,0.00,8.10,1.75,0.62,1.62,1.19,3.30,1.68,0.91,3.30,2.40,0.14,0.000,,
3399,Thompson,Klay,25.12,DAL,G,GSW,27.00,14.51,3.11,3.38,2.05,0.67,0.51,1.26,2.08,1.02,0.09,5.19,6.98,0.02,0.000,,
6032,Hachimura,Rui,24.89,LAL,F,@ UTA,31.00,13.67,1.53,4.53,1.53,0.91,0.52,0.79,3.71,1.66,0.47,5.24,4.99,0.02,0.000,,
5427,Beasley,Malik,24.71,DET,G,@ CHI,26.00,15.39,3.67,2.90,1.62,0.86,0.06,0.85,1.67,1.04,0.50,5.34,6.86,0.01,0.000,,
3920,Gordon,Aaron,24.58,DEN,F,POR,27.00,12.46,1.01,5.07,2.66,0.53,0.40,1.30,3.35,2.73,0.91,4.36,4.32,0.05,0.001,Questionable,
6308,Williams,Ziaire,23.65,BKN,F,PHI,26.00,10.98,1.51,5.53,1.96,0.95,0.41,1.43,2.24,1.97,0.47,3.75,4.97,0.04,0.000,,
6948,Ware,Kel'el,23.56,MIA,C,@ OKC,25.00,9.24,0.72,7.54,0.75,0.71,1.15,1.07,3.14,0.80,0.29,3.86,3.70,0.15,0.000,,
6076,Strus,Max,23.47,CLE,F,@ TOR,28.00,9.99,2.15,4.46,3.40,0.83,0.38,1.42,1.37,0.80,0.22,3.52,4.86,0.01,0.000,Playing,
6731,Whitmore,Cam,23.35,HOU,F,PHO,24.00,13.99,1.68,3.58,1.41,0.84,0.41,1.18,3.32,2.31,0.99,5.00,5.92,0.02,0.000,,
6079,Hayes,Jaxson,23.25,LAL,C,@ UTA,26.00,8.66,0.08,6.20,1.29,1.14,1.51,0.99,3.40,1.62,0.71,3.48,1.58,0.04,0.000,,
6345,Hauser,Sam,23.19,BOS,F,SAS,28.00,11.11,3.18,4.74,1.52,0.87,0.36,0.41,0.71,0.15,0.01,3.89,4.99,0.02,0.000,Starting,
6941,Dillingham,Rob,23.17,MIN,G,MIL,24.00,12.33,1.60,2.25,4.55,0.73,0.07,2.47,3.24,1.05,0.29,4.84,5.91,0.02,0.000,,
6505,Mathurin,Bennedict,23.14,IND,G,@ WAS,26.00,13.46,1.26,4.64,1.47,0.53,0.37,1.59,3.53,2.62,0.56,4.79,5.68,0.02,0.000,,
6558,Ellis,Keon,23.11,SAC,G,@ NOR,29.00,10.29,2.10,3.34,1.79,1.92,0.81,1.13,1.35,1.29,0.30,3.45,4.02,0.01,0.000,,
3944,Payton,Elfrid,23.11,CHA,G,@ ORL,28.00,9.41,0.33,4.09,4.53,1.21,0.21,2.48,3.71,1.00,0.76,4.04,5.72,0.01,0.000,Starting,
5308,Brogdon,Malcolm,22.97,WAS,G,IND,21.00,12.71,0.93,3.01,3.65,0.45,0.20,1.53,3.47,2.98,0.51,4.40,5.45,0.02,0.000,,
6171,Smith,Jalen,22.90,CHI,F,DET,17.00,10.05,1.52,6.43,1.31,0.30,0.88,0.73,2.08,1.33,0.31,3.60,3.82,0.06,0.000,,
3914,Dinwiddie,Spencer,22.78,DAL,G,GSW,27.00,10.86,1.38,2.80,4.17,0.76,0.26,1.19,2.16,2.40,0.49,3.54,4.92,0.02,0.000,,
