PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Jalen Brunson (37338088),Nickeil Alexander-Walker (37338562),Harrison Barnes (37338459),Cam Whitmore (37338526),Alperen Sengun (37338065),Jalen Green (37338162),Julius Randle (37338149),Cole Anthony (37338216),277.353125,310.23706774665493,49000,100.00%,0,77.82%,0,66.17,$3.11,HOU 3,MIN 2,opp,1,iamthesqweez,1711,4611048162
Damian Lillard (37338085),Cody Martin (37338468),Josh Hart (37338127),Paolo Banchero (37338047),Alperen Sengun (37338065),Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Vit Krejci (37338481),277.320625,309.5872272787725,49700,100.00%,0,77.82%,0,127.77000000000001,$3.11,ATL 3,MIL 1,opp,1,HighPraiseHighFocus,2140,4610856123
Ja Morant (37338082),Stephon Castle (37338477),Josh Hart (37338127),OG Anunoby (37338270),Dominick Barlow (37338941),Bogdan Bogdanovic (37338369),Zach LaVine (37338073),CJ McCollum (37338156),277.36375,306.71997804913343,49300,100.00%,0,77.81%,0,110.6,$3.11,NYK 2,ATL 2,opp,1,HighPraiseHighFocus,731,4610856192
LaMelo Ball (37338029),Stephon Castle (37338477),Zach LaVine (37338073),Cam Whitmore (37338526),Nikola Jokic (37338012),Keaton Wallace (37338930),Garrison Mathews (37338609),Bogdan Bogdanovic (37338369),277.38,311.9897717415183,49400,100.00%,0,77.72%,0,156.08,$3.11,ATL 3,CHA 1,opp,1,giantsquid,3501,4610921544
Keaton Wallace (37338930),Anthony Edwards (37338044),Devin Vassell (37338234),David Roddy (37338933),Walker Kessler (37338183),Ja Morant (37338082),Garrison Mathews (37338609),LaMelo Ball (37338029),277.36,310.0775304691537,49700,100.00%,0,77.71%,0,99.58,$3.11,ATL 3,MIN 1,opp,1,rohitm,3526,4610931573
Jalen Brunson (37338088),Devin Vassell (37338234),Garrison Mathews (37338609),Jeremiah Robinson-Earl (37338708),Mark Williams (37338232),Damian Lillard (37338085),David Roddy (37338933),Giannis Antetokounmpo (37338014),277.363125,313.6920183297628,49900,100.00%,0,77.68%,0,127.98,$3.11,ATL 2,MIL 2,opp,1,jb101086,1936,4611301916
Jalen Brunson (37338088),Devin Vassell (37338234),Brice Sensabaugh (37338383),Naz Reid (37338300),Rudy Gobert (37338268),Nickeil Alexander-Walker (37338562),Santi Aldama (37338417),Nikola Jokic (37338012),277.333125,312.18481922804693,49700,100.00%,0,77.68%,0,93.22,$3.11,MIN 3,NYK 1,opp,1,moklovin,1278,4610705414
Vit Krejci (37338481),Garrison Mathews (37338609),Brice Sensabaugh (37338383),Jaren Jackson Jr. (37338053),Wendell Carter Jr. (37338391),Russell Westbrook (37338173),Bogdan Bogdanovic (37338369),Nikola Jokic (37338012),277.33000000000004,312.6380033420187,49200,100.00%,0,77.67%,0,161.79000000000002,$3.11,ATL 3,DEN 2,opp,1,GreenNGold86,3078,4610600986
Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Brice Sensabaugh (37338383),Tristan da Silva (37338374),Jaren Jackson Jr. (37338053),Dyson Daniels (37338165),Quentin Grimes (37338318),Giannis Antetokounmpo (37338014),277.34000000000003,312.58923970811287,49400,100.00%,0,77.61%,0,118.74999999999999,$3.1,ATL 3,UTA 1,opp,1,giantsquid,3506,4610921550
Vit Krejci (37338481),Bogdan Bogdanovic (37338369),Josh Hart (37338127),Julius Randle (37338149),Clint Capela (37338298),Russell Westbrook (37338173),Brice Sensabaugh (37338383),Jaren Jackson Jr. (37338053),277.250625,309.59047538024276,49300,100.00%,0,77.6%,0,115.82,$3.1,ATL 3,NYK 1,opp,1,HighPraiseHighFocus,2161,4610856191
