Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
amen thompson,PG/SF/G/F/UTIL,HOU,28.08%,0.0%,0.96%,32.5%,25.03%,$-0.17
franz wagner,SF/F/UTIL,ORL,25.34%,0.01%,1.01%,9.47%,12.65%,$-0.17
evan mobley,C/PF/F/UTIL,CLE,26.71%,0.0%,0.96%,21.26%,18.81%,$-0.18
trae young,PG/G/UTIL,ATL,25.76%,0.0%,0.98%,11.41%,13.77%,$-0.18
bilal coulibaly,SF/SG/G/F/UTIL,WAS,26.67%,0.0%,0.94%,15.5%,9.57%,$-0.19
jaden mcdaniels,SF/F/UTIL,MIN,26.68%,0.0%,0.94%,9.16%,9.86%,$-0.19
goga bitadze,C/UTIL,ORL,24.9%,0.01%,0.93%,3.36%,5.31%,$-0.19
georges niang,PF/SF/F/UTIL,CLE,26.13%,0.0%,0.93%,10.67%,7.82%,$-0.2
jalen green,SG/G/UTIL,HOU,25.09%,0.0%,0.92%,6.36%,7.25%,$-0.21
tari eason,PF/F/UTIL,HOU,25.26%,0.0%,0.93%,11.26%,12.99%,$-0.21
de'andre hunter,PF/SF/F/UTIL,ATL,25.74%,0.0%,0.92%,14.75%,11.87%,$-0.21
anthony edwards,PG/SG/G/UTIL,MIN,25.53%,0.0%,0.9%,19.02%,16.62%,$-0.22
carlton carrington,PG/SG/G/UTIL,WAS,25.87%,0.0%,0.91%,8.3%,5.7%,$-0.22
jonathan isaac,C/PF/F/UTIL,ORL,24.93%,0.0%,0.87%,0.63%,0.45%,$-0.22
alperen sengun,C/UTIL,HOU,24.24%,0.0%,0.92%,12.71%,24.63%,$-0.23
larry nance jr.,C/UTIL,ATL,25.32%,0.0%,0.86%,2.63%,4.1%,$-0.23
fred vanvleet,PG/G/UTIL,HOU,26.74%,0.0%,0.84%,12.24%,13.93%,$-0.24
corey kispert,SF/SG/G/F/UTIL,WAS,25.62%,0.0%,0.87%,7.43%,4.06%,$-0.24
jaylen wells,SF/SG/G/F/UTIL,MEM,25.93%,0.0%,0.87%,10.88%,6.22%,$-0.24
sam merrill,SG/G/UTIL,CLE,26.06%,0.0%,0.89%,0.45%,0.36%,$-0.24
scoot henderson,PG/G/UTIL,POR,25.18%,0.0%,0.84%,6.59%,7.08%,$-0.25
zach edey,C/UTIL,MEM,24.07%,0.0%,0.84%,2.72%,4.5%,$-0.25
kentavious caldwell-pope,SG/G/UTIL,ORL,25.85%,0.0%,0.83%,5.34%,5.37%,$-0.26
anfernee simons,PG/SG/G/UTIL,POR,25.24%,0.0%,0.83%,11.37%,8.71%,$-0.26
jaren jackson jr.,C/PF/F/UTIL,MEM,24.61%,0.0%,0.83%,20.87%,18.76%,$-0.27
deni avdija,PF/SF/F/UTIL,POR,24.16%,0.0%,0.83%,8.15%,6.91%,$-0.27
luke kennard,PG/SG/G/UTIL,MEM,24.47%,0.0%,0.81%,2.55%,1.8%,$-0.28
desmond bane,SG/G/UTIL,MEM,23.31%,0.0%,0.81%,6.98%,9.06%,$-0.29
justin champagnie,PF/SF/F/UTIL,WAS,24.83%,0.0%,0.75%,0.26%,0.1%,$-0.3
vit krejci,PG/SF/G/F/UTIL,ATL,24.84%,0.0%,0.74%,8.71%,5.26%,$-0.31
dillon brooks,PF/F/UTIL,HOU,24.33%,0.0%,0.71%,4.2%,4.83%,$-0.33
onyeka okongwu,C/UTIL,ATL,22.37%,0.0%,0.73%,4.78%,7.68%,$-0.33
