Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Carlton Carrington,PG/SG/G/UTIL,WAS,13.53,5.86,0.0%,0.0%,0.09%,0.03%,$-3.08,48
Johnny Furphy,SF/SG/G/F/UTIL,IND,0,0.0,0.0%,0.0%,0.09%,0.03%,$-3.08,48
Kevin Huerter,SF/SG/G/F/UTIL,SAC,0,0.0,0.0%,0.0%,0.09%,0.03%,$-3.08,48
Keion Brooks Jr.,PF/SF/F/UTIL,NOP,0,0.0,0.0%,0.0%,0.09%,0.03%,$-3.08,48
Mouhamed Gueye,PF/F/UTIL,ATL,0,0.0,0.0%,0.0%,0.13%,0.03%,$-3.11,48
Pacome Dadiet,SF/SG/G/F/UTIL,NYK,0,0.0,0.0%,0.0%,0.08%,0.03%,$-3.15,48
Karlo Matkovic,C/UTIL,NOP,11.37,6.07,0.02%,0.0%,0.04%,0.1%,$-3.15,48
Jae Crowder,C/PF/F/UTIL,SAC,0,0.0,0.0%,0.0%,0.04%,0.03%,$-3.15,48
Svi Mykhailiuk,SF/SG/G/F/UTIL,UTA,0,0.0,0.0%,0.0%,0.04%,0.04%,$-3.15,48
Damian Lillard,PG/G/UTIL,MIL,0,0.0,0.0%,0.0%,0.04%,0.08%,$-3.15,48
Isaac Jones,C/PF/F/UTIL,SAC,0,0.0,0.02%,0.0%,0.08%,0.03%,$-3.15,48
Matt Ryan,SF/SG/G/F/UTIL,NYK,0,0.0,0.0%,0.0%,0.04%,0.03%,$-3.15,48
Rob Dillingham,PG/G/UTIL,MIN,15.83,8.48,0.02%,0.0%,0.08%,0.1%,$-3.15,48
Marcus Smart,SG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.04%,0.04%,$-3.15,48
Colby Jones,SF/SG/G/F/UTIL,SAC,0,0.0,0.0%,0.0%,0.04%,0.03%,$-3.15,48
Marcus Sasser,PG/SG/G/UTIL,DET,12.6,7.11,0.0%,0.0%,0.04%,0.1%,$-3.15,48
Donte DiVincenzo,PG/G/UTIL,MIN,0,0.0,0.0%,0.0%,0.04%,0.05%,$-3.15,48
James Johnson,C/PF/F/UTIL,IND,0,0.0,0.21%,0.0%,0.08%,0.03%,$-3.15,48
Chet Holmgren,C/UTIL,OKC,0,0.0,0.0%,0.0%,0.04%,0.07%,$-3.15,48
