Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Alex Len,C,SAC,dk,0.00,3000,0,0,-15,MEM,119.75,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616982,36902725
Ty Jerome,PG,CLE,dk,0.00,4400,0,0,-22,DEN,118,232.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942866,36902351
Dante Exum,SF,DAL,dk,0.00,3000,0,0,-15,WAS,123,232,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830636,36902800
Spencer Jones,SG/SF,DEN,dk,0.00,3000,0,0,-15,CLE,114.5,232.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176586,36902803
Kyshawn George,SF/PF,WAS,dk,0.00,3900,0,0,-19,DAL,109,232,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460113,36902444
Jose Alvarado,PG,NOP,dk,0.00,5800,0,0,-29,PHX,110.75,223,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060919,36902208
Craig Porter Jr,PG,CLE,dk,0.00,3900,0,0,-19,DEN,118,232.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236197,36902454
Trey Alexander,PG/SG,DEN,dk,0.00,3000,0,0,-15,CLE,114.5,232.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323633,36902810
Daniel Theis,C,NOP,dk,0.00,3000,0,0,-15,PHX,110.75,223,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066725,36902550
Saddiq Bey,SF,WAS,dk,0.00,5100,0,0,-25,DAL,109,232,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138653,36902269
Coby White,PG/SG,CHI,dk,0.00,6900,0,0,-34,SAS,117,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138387,36902128
Max Strus,PF,CLE,dk,0.00,5300,0,0,-26,DEN,118,232.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936502,36902241
Emoni Bates,PG,CLE,dk,0.00,3000,0,0,-15,DEN,118,232.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344764,36902687
Tre Mann,PG/SG,CHA,dk,0.00,4300,0,0,-21,NYK,101.75,218,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175356,36902370
Blake Wesley,PG/SG,SAS,dk,0.00,3000,0,0,-15,CHI,119,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325125,36902643
Dillon Jones,PF,OKC,dk,0.00,3000,0,0,-15,TOR,118.75,227,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231442,36902573
Oliviermaxence Prosper,SF/PF,DAL,dk,0.00,3000,0,0,-15,WAS,123,232,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232483,36902788
Kessler Edwards,SG/SF,DAL,dk,0.00,3000,0,0,-15,WAS,123,232,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135006,36902795
Jazian Gortman,PG,DAL,dk,0.00,3000,0,0,-15,WAS,123,232,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1486755,36902785
Taj Gibson,C,CHA,dk,0.00,3000,0,0,-15,NYK,101.75,218,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330057,36902694
Sidy Cissoko,SG,SAS,dk,0.00,3000,0,0,-15,CHI,119,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1432656,36902650
Isaiah Wong,PG/SG,CHA,dk,0.00,3000,0,0,-15,NYK,101.75,218,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175076,36902690
Victor Wembanyama,C,SAS,dk,0.00,10500,0,0,-52,CHI,119,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373356,36902018
