id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6283,Moody,Moses,13.38,GSW,G,@ TOR,16.00,8.20,1.38,1.79,0.72,0.48,0.28,0.69,1.48,1.10,0.33,2.86,3.38,0.00,0.000,,
6051,Tate,Jae'Sean,13.21,HOU,F,MEM,18.00,4.68,0.30,3.27,1.70,0.81,0.29,0.91,1.64,0.50,0.23,1.94,2.17,0.00,0.000,,
3677,Olynyk,Kelly,13.12,TOR,C,GSW,12.00,5.28,0.37,2.95,2.15,0.43,0.23,1.15,1.54,1.09,0.22,1.91,1.71,0.00,0.000,Questionable,
6300,Mitchell,Davion,13.12,TOR,G,GSW,20.00,4.38,0.59,1.74,3.54,0.56,0.15,0.92,1.13,0.35,0.15,1.72,2.55,0.00,0.000,,
6525,LaRavia,Jake,13.10,MEM,F,@ HOU,17.00,5.21,0.55,3.13,1.70,0.56,0.32,1.22,1.19,1.18,0.34,1.74,2.25,0.00,0.000,Out,
6292,Butler,Jared,12.98,WAS,G,MIN,12.00,5.94,0.69,1.35,2.65,0.62,0.16,1.06,1.61,0.65,0.18,2.30,2.75,0.00,0.000,,
6165,Jones,Tre,12.64,SAS,G,@ LAL,16.00,3.39,0.30,2.05,3.79,0.56,0.06,0.78,1.01,0.47,0.10,1.31,1.42,0.00,0.000,,
6333,Champagnie,Justin,12.42,WAS,F,MIN,14.00,4.98,0.60,3.46,0.75,0.63,0.35,0.55,1.37,0.44,0.13,1.97,2.11,0.00,0.000,,
6163,Achiuwa,Precious,12.28,NYK,F,DET,14.00,4.12,0.20,4.17,0.77,0.41,0.61,0.69,1.45,0.62,0.37,1.65,1.58,0.00,0.000,,
5685,Brown,Bruce,12.12,TOR,G,GSW,17.00,5.66,0.35,2.22,1.72,0.48,0.20,0.87,1.88,0.85,0.21,2.23,2.31,0.00,0.000,,
5690,Holiday,Aaron,11.47,HOU,G,MEM,15.00,5.76,0.98,1.30,1.71,0.59,0.10,0.70,1.10,0.62,0.09,2.08,2.84,0.00,0.000,,
6938,Holland,Ron,11.32,DET,F,@ NYK,15.00,5.96,0.45,2.56,0.79,0.42,0.17,0.87,1.93,0.75,0.20,2.38,2.54,0.00,0.000,,
6950,Knecht,Dalton,11.31,LAL,F,SAS,15.00,6.21,1.08,2.46,0.65,0.27,0.07,0.34,1.22,0.53,0.14,2.30,2.82,0.00,0.000,,
6015,Mann,Terance,11.06,LAC,G,MIA,16.00,4.92,0.57,2.41,1.25,0.44,0.15,0.42,1.35,0.51,0.15,1.92,2.19,0.00,0.000,,
6769,Sasser,Marcus,10.76,DET,G,@ NYK,13.00,5.75,0.92,1.02,1.75,0.42,0.10,0.79,1.25,0.49,0.06,2.17,2.67,0.00,0.000,,
3711,Adams,Steven,10.10,HOU,C,MEM,12.00,3.14,0.00,3.84,0.93,0.34,0.28,0.95,1.27,0.60,0.83,1.27,0.93,0.00,0.000,,
6718,Fontecchio,Simone,10.02,DET,F,@ NYK,14.00,5.34,0.98,2.05,0.69,0.28,0.15,0.53,0.81,0.78,0.17,1.79,2.17,0.00,0.000,,
