Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
zion williamson,C/PF/F/UTIL,NOP,19.06%,0.01%,0.79%,3.91%,2.66%,$-0.91
zach lavine,SF/SG/G/F/UTIL,CHI,21.94%,0.0%,0.78%,9.16%,5.21%,$-0.93
ben sheppard,SF/SG/G/F/UTIL,IND,23.27%,0.0%,0.8%,16.08%,10.4%,$-0.94
brook lopez,C/UTIL,MIL,23.21%,0.0%,0.77%,3.11%,5.23%,$-0.96
bradley beal,SF/SG/G/F/UTIL,PHX,21.7%,0.0%,0.75%,4.59%,2.68%,$-0.97
naji marshall,PF/SF/F/UTIL,DAL,21.56%,0.0%,0.76%,2.66%,1.68%,$-0.97
royce o'neale,PF/SF/F/UTIL,PHX,21.96%,0.0%,0.74%,0.33%,0.21%,$-0.98
peyton watson,PF/F/UTIL,DEN,22.68%,0.0%,0.74%,0.91%,0.94%,$-1.0
donovan mitchell,PG/SG/G/UTIL,CLE,20.61%,0.01%,0.72%,4.28%,3.62%,$-1.01
grayson allen,SG/G/UTIL,PHX,21.84%,0.0%,0.71%,3.82%,5.34%,$-1.03
luguentz dort,SF/SG/G/F/UTIL,OKC,22.2%,0.0%,0.72%,10.74%,6.33%,$-1.06
max strus,SF/SG/G/F/UTIL,CLE,21.43%,0.0%,0.71%,2.2%,1.35%,$-1.08
julian strawther,SF/SG/G/F/UTIL,DEN,21.82%,0.0%,0.7%,0.19%,0.1%,$-1.16
aj green,PG/SG/G/UTIL,MIL,21.92%,0.0%,0.66%,3.25%,3.32%,$-1.19
brandon boston jr.,SF/SG/G/F/UTIL,NOP,20.97%,0.0%,0.66%,0.19%,0.16%,$-1.2
klay thompson,SF/SG/G/F/UTIL,DAL,20.77%,0.0%,0.64%,3.28%,1.92%,$-1.21
michael porter jr.,PF/SF/F/UTIL,DEN,20.82%,0.0%,0.64%,8.79%,5.46%,$-1.22
devin carter,PG/SG/G/UTIL,SAC,20.51%,0.0%,0.64%,2.13%,2.16%,$-1.22
cason wallace,PG/SG/G/UTIL,OKC,21.78%,0.0%,0.64%,4.33%,4.53%,$-1.23
toumani camara,SF/F/UTIL,POR,21.47%,0.0%,0.64%,2.1%,1.96%,$-1.23
quentin grimes,SF/SG/G/F/UTIL,DAL,19.69%,0.0%,0.61%,1.92%,1.09%,$-1.26
