Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
70,4655065828,immakulatewins (1/5),313.57,60,C LOCKED F OG Anunoby G RJ Barrett PF Pascal Siakam PG Andrew Nembhard SF Ja'Kobe Walter SG Caris LeVert UTIL Scottie Barnes,,James Johnson,C,0.01%,0
70,4655590200,taylorboy1 (6/6),303.69,60,C Myles Turner F Ja'Kobe Walter G Amen Thompson PF Paolo Banchero PG Tyrese Haliburton SF Franz Wagner SG LOCKED UTIL LOCKED,,Jonathan Kuminga,PF,0.01%,0
70,4655582117,llozano (3/5),295.38,60,C Jabari Smith Jr. F Aaron Nesmith G LOCKED PF Dillon Brooks PG Tyrese Haliburton SF Amen Thompson SG Jalen Green UTIL LOCKED,,Jericho Sims,UTIL,0.01%,0
93,4655047288,mark19d509,296.94998,59.75,C Jonathan Isaac F Dillon Brooks G Jalen Green PF Pascal Siakam PG Tyrese Haliburton SF Franz Wagner SG Brandin Podziemski UTIL LOCKED,,Chris Livingston,C,0.01%,0
94,4655033849,tblac (1/10),310.15,59.5,C Alperen Sengun F Tari Eason G LOCKED PF Jabari Smith Jr. PG Tyrese Haliburton SF Amen Thompson SG LOCKED UTIL LOCKED,,Jared Rhoden,SF,0.01%,0
94,4655204521,beastofbruce (3/7),300.92,59.5,C LOCKED F Dillon Brooks G Immanuel Quickley PF LOCKED PG Tyrese Haliburton SF Amen Thompson SG Andrew Nembhard UTIL Wendell Carter Jr.,,Kevin Knox II,F,0.01%,0
94,4655590078,H062 (2/2),297.23,59.5,C Alperen Sengun F Caris LeVert G Amen Thompson PF Tari Eason PG Tyrese Haliburton SF Aaron Nesmith SG Ja'Kobe Walter UTIL LOCKED,,Trayce Jackson-Davis,C,0.01%,0
94,4655584416,freshout123 (1/2),291.69,59.5,C Jakob Poeltl F Amen Thompson G Scottie Barnes PF Dillon Brooks PG Immanuel Quickley SF Aaron Nesmith SG RJ Barrett UTIL LOCKED,,Ulrich Chomche,C,0.01%,0
94,4655142839,evilleriverrat (1/3),280.61,59.5,C Myles Turner F LOCKED G Andrew Nembhard PF Pascal Siakam PG Tyrese Haliburton SF Aaron Nesmith SG Jalen Green UTIL Jabari Smith Jr.,,Pacome Dadiet,SG,0.01%,0
99,4655415264,cadenf2027,318.46,59.25,C Wendell Carter Jr. F Paolo Banchero G Jalen Green PF LOCKED PG LOCKED SF LOCKED SG Andrew Nembhard UTIL RJ Barrett,,Cody Zeller,C,0.01%,0
99,4655057458,Waxmillion82,294.46,59.25,C LOCKED F Dillon Brooks G Ja'Kobe Walter PF Paolo Banchero PG Immanuel Quickley SF Franz Wagner SG RJ Barrett UTIL Myles Turner,,Garrett Temple,SG,0.01%,0
