Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Min Actual,DK,Plus Minus,Player
2,Anthony Davis,10200,53.33,5.23,25.8,19406,7,2.33,C,LAL,17.08,35.5,42,65.5,6,Anthony Davis
2,T.J. McConnell,4700,25.82,5.49,25.1,19406,7,2.32,PG,IND,5.49,18.7,23,30,6,TJ McConnell
2,Dalton Knecht,4700,23.38,4.98,23.79,19406,7,-0.12,SG/SF,LAL,1.96,24.6,28,21.8,-2,Dalton Knecht
2,Walker Kessler,6300,31.56,5.01,20.09,19406,7,0.06,C,UTA,5.09,24.2,31,46.3,35,Walker Kessler
2,LeBron James,9600,49.06,5.11,19.25,19406,7,1.06,PF/C,LAL,12.92,35,43,79,3,LeBron James
2,Domantas Sabonis,9300,49.29,5.3,17.59,19406,7,2.79,C,SAC,12.61,35.5,33,47.5,19,Domantas Sabonis
2,Chris Paul,6200,34.32,5.54,15.73,19406,7,3.32,PG,SAS,4.74,26.8,29,41.5,1,Chris Paul
2,Jalen Johnson,8500,41.1,4.84,14.88,19406,7,-1.4,PF,ATL,6.91,34,35,34.5,6,Jalen Johnson
2,De'Andre Hunter,5000,24.55,4.91,14.59,19406,7,-0.45,SF/PF,ATL,3,29,34,38.3,-5,DeAndre Hunter
2,Anfernee Simons,6600,33.43,5.06,13.38,19406,7,0.43,PG,POR,4.25,33,28,28.8,-34,Anfernee Simons
2,Nikola Vucevic,8400,42.92,5.11,12.5,19406,7,0.92,C,CHI,7.52,33.5,0,0,0,Nikola Vucevic
2,Bogdan Bogdanovic,4700,23.91,5.09,12.18,19406,7,0.41,SG/SF,ATL,2.31,29.8,29,29.5,18,Bogdan Bogdanovic
2,Julian Champagnie,4900,24.87,5.08,12.05,19406,7,0.37,SG/SF,SAS,2.49,21.9,35,39.8,-8,Julian Champagnie
2,Pascal Siakam,7800,39.79,5.1,11.78,19406,7,0.79,PF/C,IND,5.95,33.4,37,33.8,-1,Pascal Siakam
2,John Collins,7200,33.4,4.64,11.66,19406,7,-2.6,PF/C,UTA,6.33,27.8,28,29.3,32,John Collins
2,Derrick White,7100,33.95,4.78,11.12,19406,7,-1.55,PG/SG,BOS,3.57,33.1,37,29,12,Derrick White
2,Clint Capela,5400,28.81,5.33,10.97,19406,7,1.81,C,ATL,5.38,25,24,16,0,Clint Capela
2,Ayo Dosunmu,5700,26.05,4.57,10.94,19406,7,-2.45,PG/SG,CHI,2.4,29.2,32,34,1,Ayo Dosunmu
2,Myles Turner,6700,34.75,5.19,10.06,19406,7,1.25,C,IND,4.94,28.5,32,38.8,9,Myles Turner
2,Bennedict Mathurin,6800,32.75,4.82,9.69,19406,7,-1.25,SG/SF,IND,3.96,27.7,34,29,9,Bennedict Mathurin
2,Shaedon Sharpe,5900,29.19,4.95,9.3,19406,7,-0.31,PG/SG,POR,3.28,32.2,29,19,-30,Shaedon Sharpe
2,Jerami Grant,5700,29.2,5.12,9.12,19406,7,0.7,PF,POR,2.81,33,29,31.8,-31,Jerami Grant
2,Rui Hachimura,4900,22.87,4.67,9.12,19406,7,-1.63,SF/PF,LAL,1.78,27.6,41,33.8,5,Rui Hachimura
