Contest ID,Player Pool,Test MSE,Test R^2,Ownership Correlation,Configuration
22,247,23.361,0.59,0.777,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
23,141,19.789,0.798,0.924,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
Average,192.7,26.774,0.697,0.857,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
5,43,46.29,0.817,0.947,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
6,45,76.67,0.732,0.893,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
7,71,42.694,0.761,0.902,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
8,134,43.856,0.594,0.807,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
9,71,51.184,0.747,0.898,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
10,211,26.204,0.547,0.806,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
11,210,15.586,0.773,0.89,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
12,387,11.1,0.647,0.807,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
13,104,14.34,0.904,0.964,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
14,382,11.658,0.692,0.834,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=500"
