PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Cade Cunningham (37514407),Nick Smith Jr. (37514676),Jae'Sean Tate (37514993),Tari Eason (37514613),Nikola Jokic (37514396),Devin Vassell (37514559),Aaron Gordon (37514723),AJ Green (37514934),289.05,282.33000000000004,382.18,49900,0.0%,1.22%,-14.8%,31.67%,126.75999999999999,$-0.4,HOU 2,DEN 2,generated,1
Jalen Brunson (37514435),AJ Green (37514934),Isaiah Joe (37514786),Michael Porter Jr. (37514568),Karl-Anthony Towns (37514418),Jose Alvarado (37514686),Zion Williamson (37514438),Luke Kennard (37514694),280.49,276.77,368.92,49700,0.01%,1.01%,-14.9%,23.05%,106.93,$-0.4,NYK 2,NOP 2,generated,1
Vasilije Micic (37514659),AJ Green (37514934),Christian Braun (37514621),Zaccharie Risacher (37514710),Naz Reid (37514564),Anthony Edwards (37514420),Aaron Gordon (37514723),Shai Gilgeous-Alexander (37514402),289.33,275.28999999999996,376.64000000000004,49100,0.0%,1.02%,-14.9%,30.87%,121.13,$-0.4,DEN 2,MIN 2,generated,1
Cade Cunningham (37514407),Stephon Castle (37514633),Taurean Prince (37514752),Aaron Wiggins (37514609),Naz Reid (37514564),Anthony Edwards (37514420),DeMar DeRozan (37514547),Delon Wright (37515257),286.21,271.19,373.9,49700,0.01%,0.95%,-14.9%,27.71%,93.68,$-0.4,MIL 2,MIN 2,generated,1
Jalen Brunson (37514435),AJ Green (37514934),Andre Jackson Jr. (37514872),Naz Reid (37514564),Victor Wembanyama (37514405),Malik Monk (37514495),Aaron Wiggins (37514609),Isaiah Joe (37514786),287.45000000000005,282.3,372.52,49000,0.01%,0.94%,-14.9%,28.29%,131.57999999999998,$-0.4,MIL 2,OKC 2,generated,1
Cade Cunningham (37514407),Devin Carter (37515219),Aaron Wiggins (37514609),Naz Reid (37514564),Mark Williams (37514441),Christian Braun (37514621),Aaron Gordon (37514723),John Collins (37514528),285.02000000000004,280.57,376.96,49200,0.0%,1.04%,-14.9%,27.09%,120.27,$-0.4,DEN 2,DET 1,generated,1
Jordan Poole (37514515),Miles McBride (37514824),Keldon Johnson (37514748),Tari Eason (37514613),Mark Williams (37514441),Delon Wright (37515257),Santi Aldama (37514673),Nikola Jokic (37514396),276.38,273.97,377.79999999999995,49000,0.01%,0.99%,-14.9%,21.79%,98.23,$-0.4,WAS 1,NYK 1,generated,1
Amen Thompson (37514443),Cam Whitmore (37514855),Keldon Johnson (37514748),Aaron Wiggins (37514609),Jonas Valanciunas (37514579),Anthony Edwards (37514420),Zion Williamson (37514438),Isaiah Joe (37514786),283.44000000000005,274.33000000000004,378.18,49700,0.01%,1.19%,-14.9%,26.16%,98.84,$-0.4,HOU 2,OKC 2,generated,1
Marjon Beauchamp (37515266),Gary Trent Jr. (37514781),Ausar Thompson (37514714),Naz Reid (37514564),Victor Wembanyama (37514405),Jose Alvarado (37514686),John Collins (37514528),Domantas Sabonis (37514413),278.28999999999996,273.05,371.35,49700,0.01%,0.84%,-14.9%,20.88%,88.66,$-0.4,MIL 2,DET 1,generated,1
Trae Young (37514415),AJ Green (37514934),Isaiah Joe (37514786),John Collins (37514528),Karl-Anthony Towns (37514418),Devin Vassell (37514559),Michael Porter Jr. (37514568),Aaron Gordon (37514723),281.49,277.11,366.49,49700,0.01%,0.92%,-15.0%,22.85%,106.6,$-0.5,DEN 2,ATL 1,generated,1
Luke Kennard (37514694),Andre Jackson Jr. (37514872),Amen Thompson (37514443),Kyle Kuzma (37514544),Karl-Anthony Towns (37514418),AJ Green (37514934),Naz Reid (37514564),Isaiah Hartenstein (37514486),282.37999999999994,270.76,367.58000000000004,49200,0.01%,0.95%,-15.0%,23.82%,94.08,$-0.5,MIL 2,MEM 1,generated,1
Jalen Brunson (37514435),Keon Ellis (37514889),De'Andre Hunter (37514572),Tari Eason (37514613),Domantas Sabonis (37514413),Devin Carter (37515219),Naz Reid (37514564),Pascal Siakam (37514472),283.34999999999997,277.74,371.6700000000001,49700,0.01%,0.96%,-15.0%,24.62%,112.47,$-0.5,SAC 3,NYK 1,generated,1
Stephon Castle (37514633),Keon Ellis (37514889),Amen Thompson (37514443),Keldon Johnson (37514748),Nikola Jokic (37514396),Luke Kennard (37514694),Aaron Gordon (37514723),Malik Monk (37514495),289.1,282.46,376.3,50000,0.01%,0.87%,-15.0%,30.46%,133.57,$-0.4,SAS 2,SAC 2,generated,1
